company_name,domain,github_org,tags
Telstra Corporation,telstra.com,telstra,telecom,australia,tier1
NBN Co,nbnco.com.au,,telecom,australia,government
BUPA Australia,bupa.com.au,,healthcare,australia
Commonwealth Bank,commbank.com.au,CommBank,financial-services,australia
Woolworths Group,woolworthsgroup.com.au,,retail,australia
Medibank,medibank.com.au,,healthcare,australia
ANZ Banking Group,anz.com,,financial-services,australia
Qantas Airways,qantas.com,qantas,transport,australia
AGL Energy,agl.com.au,,utilities,australia
Optus,optus.com.au,,telecom,australia
Westpac,westpac.com.au,,financial-services,australia
National Australia Bank,nab.com.au,NAB-Labs,financial-services,australia
AMP Group,amp.com.au,,financial-services,australia
Transurban,transurban.com,,utilities,australia
IAG Insurance,iag.com.au,,insurance,australia
QBE Insurance,qbe.com,,insurance,global
Macquarie Group,macquarie.com,,financial-services,global
South32,south32.net,,mining,global
BHP,bhp.com,bhpdigital,mining,global
Woodside Energy,woodside.com,,energy,australia
